Category, Price, Energy Star, Name, Source
ENERGY STAR Television,271.99,true,Toshiba - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV - Gunmetal,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-hdtv-gunmetal/1306052328.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=mp1306052328&skuId=1306052328&st=categoryid$abcat0101001&cp=2&lp=7#tab=buyingOptions
ENERGY STAR Television,279.99,false,RCA - 39" Class - LED - 1080p - 60Hz - HDTV,http://www.bestbuy.com/site/39-class-led-1080p-60hz-hdtv/6814989.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1218807854616&skuId=6814989&st=categoryid$abcat0101001&cp=2&lp=8
ENERGY STAR Television,279.99,true,Sceptre - 39" Class (39" Diag.) - LCD - 1080p - 60Hz - HDTV,http://www.bestbuy.com/site/39-class-39-diag--lcd-1080p-60hz-hdtv/4472008.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1219098338741&skuId=4472008&st=categoryid$abcat0101001&cp=2&lp=9
ENERGY STAR Television,279.99,false,Seiki - 39" Class (39" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/39-class-39-diag--led-720p-60hz-hdtv/5562462.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1219139426899&skuId=5562462&st=categoryid$abcat0101001&cp=2&lp=10
ENERGY STAR Television,284.78,true,Sansui - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-hdtv/1305712117.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=mp1305712117&skuId=1305712117&st=categoryid$abcat0101001&cp=2&lp=11#tab=buyingOptions
ENERGY STAR Television,287.00,true,Sharp - AQUOS - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/aquos-32-class-31-1-2-diag--led-720p-60hz-hdtv/1308127017.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=mp1308127017&skuId=1308127017&st=categoryid$abcat0101001&cp=2&lp=12#tab=buyingOptions
ENERGY STAR Television,289.47,true,JVC - Emerald - 32" Class (32" Diag.) - LED-LCD TV - 720p - HDTV,http://www.bestbuy.com/site/emerald-32-class-32-diag--led-lcd-tv-720p-hdtv/1305724714.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=mp1305724714&skuId=1305724714&st=categoryid$abcat0101001&cp=2&lp=13#tab=buyingOptions
ENERGY STAR Television,293.99,true,VIZIO - E-Series - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - Smart - HDTV,http://www.bestbuy.com/site/e-series-32-class-31-1-2-diag--led-720p-60hz-smart-hdtv/1310222595.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=mp1310222595&skuId=1310222595&st=categoryid$abcat0101001&cp=2&lp=15#tab=buyingOptions
ENERGY STAR Television,299.00,false,Haier - 39" Class (38-1/2" Diag.) - LED - 1080p - 60Hz - HDTV,http://www.bestbuy.com/site/39-class-38-1-2-diag--led-1080p-60hz-hdtv/1310164512.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=mp1310164512&skuId=1310164512&st=categoryid$abcat0101001&cp=2&lp=17#tab=buyingOptions
ENERGY STAR Television,299.99,true,Sceptre - 40" Class (40" Diag.) - LCD - 1080p - 60Hz - HDTV,http://www.bestbuy.com/site/40-class-40-diag--lcd-1080p-60hz-hdtv/2797141.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1219078630219&skuId=2797141&st=categoryid$abcat0101001&cp=2&lp=18
ENERGY STAR Television,299.99,true,VIZIO - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - Smart - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-720p-60hz-smart-hdtv/1308130161.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=mp1308130161&skuId=1308130161&st=categoryid$abcat0101001&cp=2&lp=19#tab=buyingOptions
ENERGY STAR Television,299.99,false,Hitachi - 32" Class (31-1/2" Diag.) - LED - 1080p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-1080p-60hz-hdtv/3284093.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1219089957099&skuId=3284093&st=categoryid$abcat0101001&cp=2&lp=20
ENERGY STAR Television,299.99,true,Insignia™ - 39" Class (38-1/2" Diag.) - LED - 1080p - 60Hz - HDTV,http://www.bestbuy.com/site/39-class-38-1-2-diag--led-1080p-60hz-hdtv/7790041.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1218860215454&skuId=7790041&st=categoryid$abcat0101001&cp=2&lp=21
ENERGY STAR Television,299.99,false,Insignia™ - 40" Class (39-1/2" Diag.) - LED - 1080p - 60Hz - HDTV,http://www.bestbuy.com/site/40-class-39-1-2-diag--led-1080p-60hz-hdtv/2992002.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1219085626464&skuId=2992002&st=categoryid$abcat0101001&cp=2&lp=22
ENERGY STAR Television,299.99,false,Westinghouse - 40" Class (39-1/2" Diag.) - LED - 1080p - 60Hz - HDTV,http://www.bestbuy.com/site/40-class-39-1-2-diag--led-1080p-60hz-hdtv/5420054.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1219127077269&skuId=5420054&st=categoryid$abcat0101001&cp=2&lp=23
ENERGY STAR Television,299.99,false,RCA - 40" Class (40" Diag.) - LED - 1080p - 60Hz - HDTV,http://www.bestbuy.com/site/40-class-40-diag--led-1080p-60hz-hdtv/2438016.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1219072963811&skuId=2438016&st=categoryid$abcat0101001&cp=2&lp=24
ENERGY STAR Television,299.99,false,Seiki - 40" Class (40" Diag.) - LED - 1080p - 60Hz - HDTV,http://www.bestbuy.com/site/40-class-40-diag--led-1080p-60hz-hdtv/5562311.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=1219139430453&skuId=5562311&st=categoryid$abcat0101001&cp=2&lp=25
ENERGY STAR Television,300.89,true,Philips - 4000 Series - 32" Class (32" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/4000-series-32-class-32-diag--led-720p-60hz-hdtv/1307135839.p;jsessionid=1152A0AB016AD97117DDA63129E8E15E.bbolsp-app02-107?id=mp1307135839&skuId=1307135839&st=categoryid$abcat0101001&cp=2&lp=26#tab=buyingOptions
